Location,Time,Lighting,Traffic_Density,Crime_Rate,Police_Presence,Public_Transport_Availability,CCTV_Presence,Population_Density,Safe_Road
Residential Area,20:05,Moderately-lit,0.73,0.22,1,0,1,0.55,1
Residential Area,00:00,Moderately-lit,0.07,0.06,1,0,1,0.56,0
Public Transport Hub,05:05,Poorly-lit,0.22,0.53,0,1,0,0.85,1
Industrial Zone,02:05,Well-lit,0.13,0.62,1,1,0,0.26,1
Residential Area,00:10,Poorly-lit,0.28,0.34,0,1,0,0.58,0
University Campus,20:22,No lighting,0.11,0.45,1,1,0,0.52,0
Industrial Zone,04:07,Poorly-lit,0.77,0.57,1,0,0,0.25,0
Park,20:50,Well-lit,0.11,0.68,1,0,0,0.12,1
Residential Area,03:10,Poorly-lit,0.04,0.08,1,1,0,0.45,1
Alleyway,01:54,Well-lit,0.74,0.76,0,1,1,0.2,1
Suburban Street,04:07,Well-lit,0.1,0.38,1,0,0,0.59,1
University Campus,20:41,Poorly-lit,0.11,0.3,0,0,0,0.53,0
Main Road,18:53,Well-lit,0.1,0.41,1,1,1,0.23,1
University Campus,02:23,Well-lit,0.32,0.42,1,0,0,0.5,1
Public Transport Hub,22:47,Well-lit,0.28,0.4,1,1,0,0.8,1
Public Transport Hub,04:06,No lighting,0.08,0.48,0,1,1,0.87,0
Main Road,19:02,Moderately-lit,0.73,0.26,1,1,0,0.12,1
Public Transport Hub,21:31,Moderately-lit,0.23,0.37,1,1,1,0.84,0
Industrial Zone,21:15,No lighting,0.36,0.66,1,0,0,0.23,0
Suburban Street,01:55,No lighting,0.16,0.32,1,0,0,0.41,0
Market Area,23:00,Moderately-lit,0.32,0.29,1,1,0,0.82,0
Main Road,04:49,Well-lit,0.28,0.52,0,0,1,0.28,1
Park,23:31,Well-lit,0.09,0.51,0,1,0,0.23,1
Commercial District,22:29,Poorly-lit,0.4,0.36,1,1,1,0.85,1
Suburban Street,18:58,No lighting,0.66,0.29,1,0,1,0.44,0
Residential Area,22:55,No lighting,0.29,0.23,0,0,0,0.55,0
Commercial District,23:51,Poorly-lit,0.69,0.39,1,1,0,0.79,1
Main Road,18:31,Moderately-lit,0.26,0.43,1,1,1,0.17,1
Alleyway,05:58,No lighting,0.11,0.78,1,0,0,0.27,0
Public Transport Hub,04:15,No lighting,0.05,0.4,1,0,0,0.72,0
Commercial District,22:00,Poorly-lit,0.01,0.57,0,1,1,0.76,0
Public Transport Hub,00:04,Poorly-lit,0.06,0.62,0,0,0,0.7,0
Commercial District,22:28,Poorly-lit,0.23,0.43,1,0,0,0.76,0
Public Transport Hub,21:07,Well-lit,0.43,0.38,0,1,0,0.85,1
Residential Area,23:52,Well-lit,0.24,0.16,1,0,1,0.4,1
Public Transport Hub,02:19,No lighting,0.16,0.63,0,1,0,0.8,0
Park,19:42,No lighting,0.1,0.51,0,0,0,0.26,0
Park,21:10,No lighting,0.32,0.63,0,0,1,0.17,0
Commercial District,22:15,Well-lit,0.07,0.42,1,1,1,0.74,1
Public Transport Hub,00:04,No lighting,0.1,0.44,0,1,0,0.89,0
Park,19:05,Moderately-lit,0.03,0.59,0,1,0,0.25,0
Alleyway,02:30,No lighting,0.18,0.72,0,0,1,0.24,0
Public Transport Hub,02:44,Poorly-lit,0.33,0.4,1,1,0,0.77,0
Suburban Street,04:06,Poorly-lit,0.41,0.45,1,0,1,0.55,0
Market Area,21:39,Well-lit,0.06,0.44,0,0,0,0.77,1
Alleyway,04:22,No lighting,0.11,0.94,0,1,0,0.12,0
Suburban Street,21:48,Moderately-lit,0.44,0.32,0,1,0,0.49,0
Market Area,21:10,Well-lit,0.16,0.48,0,1,0,0.79,1
Residential Area,03:19,Moderately-lit,0.22,0.3,0,1,0,0.51,0
Market Area,21:54,Poorly-lit,0.01,0.52,1,1,0,0.73,0
Public Transport Hub,21:04,No lighting,0.4,0.56,1,1,1,0.85,1
Industrial Zone,18:01,Well-lit,0.24,0.63,1,0,0,0.29,1
Public Transport Hub,02:09,Poorly-lit,0.3,0.37,1,1,1,0.8,1
Suburban Street,21:40,No lighting,0.22,0.32,0,0,0,0.44,0
Residential Area,02:52,Moderately-lit,0.28,0.07,1,0,1,0.5,1
Public Transport Hub,00:06,Poorly-lit,0.03,0.64,0,1,1,0.74,0
Suburban Street,23:57,No lighting,0.62,0.25,1,0,0,0.45,0
Industrial Zone,04:56,Moderately-lit,0.61,0.81,0,0,0,0.15,1
Park,23:33,Poorly-lit,0.68,0.57,0,0,1,0.15,0
Main Road,19:12,Moderately-lit,0.08,0.4,1,1,1,0.2,1
Market Area,02:56,Moderately-lit,0.42,0.52,1,0,0,0.75,0
Residential Area,02:03,Poorly-lit,0.13,0.16,1,1,0,0.56,1
University Campus,21:14,Well-lit,0.45,0.38,1,0,0,0.57,1
Main Road,19:40,Moderately-lit,0.16,0.48,1,0,1,0.27,0
Industrial Zone,19:13,No lighting,0.17,0.79,0,0,0,0.21,0
Industrial Zone,20:32,Well-lit,0.09,0.69,1,0,0,0.18,1
University Campus,18:11,Poorly-lit,0.09,0.38,0,0,0,0.42,0
Market Area,02:38,Moderately-lit,0.52,0.46,1,0,1,0.78,1
Park,18:02,Poorly-lit,0.15,0.67,0,0,0,0.24,0
University Campus,05:14,Well-lit,0.7,0.36,0,0,1,0.53,1
University Campus,23:31,Moderately-lit,0.69,0.28,1,0,0,0.59,0
Suburban Street,05:51,Poorly-lit,0.1,0.27,0,0,0,0.48,0
Industrial Zone,22:32,Well-lit,0.23,0.79,0,1,1,0.15,1
Park,20:52,Moderately-lit,0.12,0.7,0,0,0,0.15,0
Park,04:03,Well-lit,0.06,0.58,0,0,0,0.25,0
Alleyway,23:46,No lighting,0.56,0.9,0,0,0,0.26,0
Commercial District,20:24,Moderately-lit,0.25,0.65,0,1,1,0.74,0
Market Area,02:45,Poorly-lit,0.07,0.43,1,0,0,0.9,0
Public Transport Hub,19:52,Well-lit,0.35,0.54,0,1,1,0.73,1
University Campus,02:56,Poorly-lit,0.15,0.32,0,1,1,0.44,0
Park,20:20,Well-lit,0.04,0.62,0,1,0,0.12,0
Public Transport Hub,01:52,Poorly-lit,0.55,0.44,1,1,1,0.79,1
University Campus,00:24,Well-lit,0.15,0.21,0,0,1,0.42,1
Public Transport Hub,20:19,Well-lit,0.05,0.35,1,1,1,0.85,1
Public Transport Hub,00:50,Well-lit,0.02,0.45,1,1,1,0.87,1
Main Road,23:39,Poorly-lit,0.35,0.41,0,1,1,0.2,0
Main Road,01:08,Moderately-lit,0.57,0.25,1,1,1,0.12,1
Commercial District,05:12,Well-lit,0.02,0.45,1,0,1,0.87,1
University Campus,22:48,No lighting,0.07,0.29,1,0,1,0.48,0
Residential Area,21:04,Well-lit,0.17,0.09,1,0,0,0.48,1
Market Area,22:22,Poorly-lit,0.27,0.34,1,1,0,0.79,1
University Campus,21:14,Well-lit,0.13,0.45,1,1,1,0.48,1
Alleyway,02:23,No lighting,0.05,0.71,0,0,0,0.28,0
Residential Area,19:10,Well-lit,0.1,0.33,0,0,0,0.57,1
Residential Area,04:48,Poorly-lit,0.19,0.24,1,0,0,0.54,1
Residential Area,00:40,Well-lit,0.12,0.13,1,1,0,0.58,1
Park,20:24,No lighting,0.04,0.68,0,0,0,0.29,0
Residential Area,23:52,No lighting,0.17,0.31,0,0,1,0.55,0
Residential Area,20:00,Well-lit,0.04,0.23,1,0,0,0.6,1
Suburban Street,04:21,Moderately-lit,0.4,0.41,1,0,1,0.55,1
Park,05:23,Poorly-lit,0.51,0.72,0,0,0,0.12,0
Main Road,03:16,Poorly-lit,0.25,0.51,0,0,1,0.16,0
Commercial District,00:25,Moderately-lit,0.16,0.6,1,1,1,0.77,1
Industrial Zone,02:01,No lighting,0.26,0.74,0,0,0,0.21,0
University Campus,01:26,Poorly-lit,0.1,0.43,1,0,1,0.5,0
Industrial Zone,18:44,Moderately-lit,0.13,0.77,0,0,0,0.25,0
Alleyway,22:48,Well-lit,0.16,0.92,0,1,1,0.26,1
Commercial District,20:41,No lighting,0.06,0.53,0,1,0,0.71,0
Main Road,01:19,No lighting,0.24,0.28,0,1,1,0.11,0
Main Road,02:29,Moderately-lit,0.36,0.53,1,0,0,0.25,0
University Campus,19:26,Well-lit,0.17,0.34,1,1,1,0.52,0
Park,22:48,Poorly-lit,0.15,0.56,1,0,0,0.28,0
Park,20:00,Moderately-lit,0.21,0.5,1,0,0,0.15,1
Commercial District,01:10,No lighting,0.49,0.64,0,0,1,0.81,0
Main Road,00:19,Poorly-lit,0.13,0.49,0,1,1,0.16,0
Main Road,21:34,Poorly-lit,0.29,0.48,1,1,1,0.27,0
University Campus,00:04,Moderately-lit,0.21,0.39,0,0,1,0.46,0
Main Road,21:20,Well-lit,0.53,0.41,1,1,1,0.24,1
Industrial Zone,00:45,Moderately-lit,0.12,0.6,0,1,0,0.29,0
Market Area,20:24,Well-lit,0.28,0.55,1,1,0,0.7,1
Commercial District,18:27,Moderately-lit,0.45,0.51,0,1,1,0.82,1
Residential Area,19:31,No lighting,0.03,0.35,0,1,1,0.41,0
Main Road,23:08,Moderately-lit,0.0,0.3,0,1,1,0.27,0
Industrial Zone,03:22,Moderately-lit,0.52,0.84,1,1,0,0.27,0
Suburban Street,18:38,Poorly-lit,0.19,0.17,1,1,0,0.45,0
Alleyway,19:39,Well-lit,0.15,0.71,1,0,0,0.12,1
Suburban Street,20:22,Poorly-lit,0.33,0.43,1,1,0,0.42,0
Residential Area,00:27,Poorly-lit,0.26,0.19,1,0,0,0.52,0
Residential Area,22:39,Well-lit,0.02,0.25,1,0,0,0.42,1
Suburban Street,05:32,No lighting,0.63,0.43,0,0,0,0.43,0
Market Area,00:27,Well-lit,0.38,0.32,0,0,0,0.76,1
Industrial Zone,05:17,No lighting,0.15,0.71,0,0,1,0.22,0
Main Road,23:35,Moderately-lit,0.48,0.47,0,1,0,0.28,0
Park,02:37,Poorly-lit,0.5,0.46,1,1,1,0.11,0
Commercial District,01:40,Moderately-lit,0.22,0.55,1,0,1,0.75,0
Industrial Zone,23:34,Moderately-lit,0.37,0.61,1,0,1,0.14,0
Main Road,19:24,Moderately-lit,0.11,0.34,0,1,1,0.12,0
Alleyway,19:20,Poorly-lit,0.14,0.8,0,0,0,0.27,0
Commercial District,23:47,No lighting,0.38,0.57,0,1,0,0.72,0
Market Area,19:42,Poorly-lit,0.21,0.34,1,0,0,0.71,0
Industrial Zone,20:14,Moderately-lit,0.04,0.57,1,0,0,0.16,0
Main Road,19:19,Well-lit,0.31,0.3,1,1,1,0.2,0
Industrial Zone,00:55,No lighting,0.17,0.74,1,0,0,0.24,0
Industrial Zone,00:49,Well-lit,0.2,0.71,0,1,0,0.29,1
Alleyway,03:57,Well-lit,0.24,0.8,1,0,0,0.24,1
Park,04:14,No lighting,0.05,0.57,0,0,1,0.14,0
University Campus,01:57,Poorly-lit,0.08,0.43,1,0,0,0.58,0
Market Area,21:14,Well-lit,0.1,0.4,0,0,0,0.75,1
Alleyway,05:20,Well-lit,0.27,0.95,0,0,1,0.22,0
Suburban Street,21:41,No lighting,0.41,0.39,1,0,0,0.55,0
Public Transport Hub,19:46,Poorly-lit,0.1,0.38,0,1,1,0.74,0
Main Road,21:17,No lighting,0.14,0.33,1,1,1,0.22,1
Commercial District,03:33,No lighting,0.29,0.54,0,0,1,0.72,0
Market Area,19:26,No lighting,0.22,0.4,1,1,0,0.83,0
Industrial Zone,04:36,Moderately-lit,0.14,0.69,1,0,0,0.24,0
Commercial District,21:51,Well-lit,0.09,0.5,1,1,0,0.82,1
Residential Area,21:39,Moderately-lit,0.6,0.05,1,0,1,0.54,1
Main Road,03:37,Moderately-lit,0.31,0.47,1,1,1,0.15,1
Commercial District,02:51,Poorly-lit,0.08,0.54,1,1,1,0.78,1
Industrial Zone,19:44,Poorly-lit,0.17,0.82,0,0,0,0.1,0
University Campus,22:18,Poorly-lit,0.4,0.27,1,0,0,0.54,1
Park,01:44,No lighting,0.26,0.71,0,0,0,0.13,0
Commercial District,04:36,No lighting,0.6,0.63,0,1,0,0.72,0
Commercial District,23:51,Well-lit,0.48,0.6,0,1,1,0.79,1
Park,19:48,Poorly-lit,0.14,0.5,0,0,0,0.24,0
Suburban Street,22:15,Moderately-lit,0.46,0.2,1,0,0,0.6,0
Industrial Zone,04:50,No lighting,0.05,0.66,0,0,0,0.14,1
Commercial District,19:27,Well-lit,0.2,0.5,1,1,0,0.83,1
Suburban Street,01:57,Poorly-lit,0.06,0.35,1,1,0,0.45,0
Suburban Street,04:38,Poorly-lit,0.36,0.38,1,0,0,0.44,0
University Campus,23:57,Moderately-lit,0.15,0.28,0,1,0,0.58,0
Commercial District,21:43,No lighting,0.72,0.61,0,0,0,0.8,0
Market Area,04:08,No lighting,0.5,0.27,0,0,0,0.72,0
Alleyway,00:27,Poorly-lit,0.01,0.92,0,0,0,0.19,0
Market Area,19:12,No lighting,0.01,0.31,1,0,0,0.72,0
Industrial Zone,18:35,Moderately-lit,0.86,0.71,1,0,1,0.29,0
Industrial Zone,00:07,Poorly-lit,0.12,0.78,1,0,0,0.2,0
Main Road,00:36,Poorly-lit,0.48,0.34,1,1,1,0.23,1
Suburban Street,01:56,No lighting,0.42,0.36,0,0,1,0.43,0
Commercial District,19:15,No lighting,0.16,0.39,1,1,1,0.9,0
Market Area,23:42,Poorly-lit,0.53,0.35,0,0,0,0.76,0
University Campus,03:56,Moderately-lit,0.28,0.29,1,0,0,0.55,0
Residential Area,02:59,Poorly-lit,0.06,0.16,1,0,0,0.4,0
Suburban Street,19:59,Well-lit,0.17,0.15,1,0,1,0.55,1
Residential Area,21:54,No lighting,0.05,0.21,1,0,0,0.46,0
Park,23:03,Well-lit,0.04,0.48,0,0,0,0.27,1
Market Area,02:49,Poorly-lit,0.1,0.44,0,1,0,0.72,0
Main Road,00:15,Poorly-lit,0.51,0.39,0,1,0,0.28,0
Residential Area,02:39,No lighting,0.29,0.26,1,0,0,0.55,0
Alleyway,03:38,Poorly-lit,0.37,0.84,0,1,1,0.15,0
Suburban Street,02:13,Moderately-lit,0.2,0.44,1,1,1,0.48,1
Residential Area,23:07,Poorly-lit,0.33,0.09,1,0,0,0.51,0
Main Road,02:01,Well-lit,0.22,0.25,0,1,1,0.11,1
Residential Area,00:58,Moderately-lit,0.56,0.2,1,0,1,0.46,1
Commercial District,02:58,No lighting,0.18,0.53,1,0,1,0.74,1
Suburban Street,05:17,No lighting,0.27,0.18,1,0,0,0.46,0
University Campus,19:25,Well-lit,0.81,0.35,1,0,1,0.6,1
University Campus,05:07,No lighting,0.09,0.35,0,0,0,0.44,0
Commercial District,18:03,No lighting,0.43,0.45,0,1,1,0.87,0
Alleyway,04:50,Poorly-lit,0.06,0.82,0,0,0,0.18,0
Residential Area,02:59,No lighting,0.3,0.32,1,0,0,0.47,0
Main Road,23:46,No lighting,0.4,0.51,1,0,0,0.16,0
Alleyway,04:15,Moderately-lit,0.03,0.78,0,1,0,0.19,0
Alleyway,01:01,Well-lit,0.4,0.91,0,0,0,0.28,0
Industrial Zone,20:52,Poorly-lit,0.18,0.57,0,0,0,0.14,0
Public Transport Hub,23:12,No lighting,0.04,0.44,0,1,1,0.74,0
Residential Area,05:10,Poorly-lit,0.05,0.09,1,0,0,0.49,0
Public Transport Hub,19:58,Poorly-lit,0.32,0.47,0,1,0,0.87,0
Main Road,05:32,Moderately-lit,0.45,0.38,0,1,1,0.26,0
Main Road,22:00,No lighting,0.3,0.43,0,1,1,0.14,0
Park,03:07,Moderately-lit,0.2,0.52,1,0,0,0.13,0
Suburban Street,01:40,Well-lit,0.08,0.24,1,0,0,0.44,1
Park,03:07,No lighting,0.06,0.67,0,1,1,0.14,0
University Campus,20:22,Well-lit,0.42,0.18,1,0,0,0.43,1
Residential Area,04:15,Moderately-lit,0.15,0.05,1,0,0,0.46,1
Park,19:03,Well-lit,0.2,0.67,0,0,0,0.23,0
Alleyway,04:36,No lighting,0.14,0.91,0,0,1,0.2,0
Market Area,19:48,Well-lit,0.03,0.26,1,1,0,0.81,1
Commercial District,20:58,No lighting,0.09,0.53,0,0,1,0.73,0
Market Area,02:14,Moderately-lit,0.52,0.49,0,0,0,0.81,0
Residential Area,20:37,No lighting,0.17,0.29,0,0,1,0.6,0
Alleyway,20:18,Well-lit,0.07,0.87,0,0,0,0.28,0
University Campus,02:50,No lighting,0.45,0.38,0,0,0,0.59,0
Public Transport Hub,04:20,Well-lit,0.06,0.53,0,1,0,0.83,1
Alleyway,19:30,No lighting,0.02,0.72,0,1,1,0.18,0
Residential Area,18:13,Moderately-lit,0.13,0.26,0,1,0,0.4,0
Suburban Street,19:12,No lighting,0.58,0.26,1,1,0,0.44,0
Alleyway,23:17,Well-lit,0.29,0.84,0,1,1,0.23,1
Suburban Street,05:56,Well-lit,0.37,0.34,1,1,0,0.51,0
Residential Area,23:28,Poorly-lit,0.21,0.12,1,1,0,0.59,1
Market Area,05:06,Poorly-lit,0.63,0.26,1,0,1,0.71,1
Public Transport Hub,02:36,Moderately-lit,0.47,0.48,1,1,0,0.82,1
Public Transport Hub,00:44,Well-lit,0.23,0.5,1,1,0,0.84,1
University Campus,20:55,Well-lit,0.04,0.35,0,1,0,0.42,1
Park,20:06,Moderately-lit,0.38,0.68,1,0,1,0.1,1
Alleyway,18:23,Moderately-lit,0.02,0.9,0,0,0,0.28,0
Market Area,04:29,Well-lit,0.34,0.37,1,0,0,0.85,1
Park,00:06,No lighting,0.23,0.64,0,1,0,0.3,0
Residential Area,20:42,No lighting,0.16,0.21,0,0,1,0.49,0
Main Road,00:36,Moderately-lit,0.28,0.5,0,1,1,0.25,0
Park,18:31,Poorly-lit,0.42,0.46,1,0,0,0.22,0
Residential Area,23:46,Well-lit,0.18,0.11,1,1,1,0.5,1
Park,20:42,Well-lit,0.16,0.66,1,0,1,0.13,1
Industrial Zone,21:57,No lighting,0.29,0.76,0,1,1,0.13,0
University Campus,20:25,Moderately-lit,0.4,0.34,0,1,1,0.57,0
Public Transport Hub,00:59,No lighting,0.3,0.41,0,1,1,0.9,0
Industrial Zone,00:44,Poorly-lit,0.71,0.75,0,0,0,0.11,0
Residential Area,23:18,Poorly-lit,0.06,0.27,1,0,0,0.58,0
University Campus,18:22,No lighting,0.4,0.32,0,0,1,0.47,0
Public Transport Hub,03:41,No lighting,0.1,0.63,0,1,1,0.77,0
Park,21:58,No lighting,0.13,0.66,0,0,1,0.22,1
Suburban Street,22:38,Poorly-lit,0.08,0.22,1,0,0,0.58,0
Park,18:40,No lighting,0.2,0.52,1,0,0,0.24,0
Industrial Zone,05:50,Moderately-lit,0.05,0.59,0,1,0,0.28,0
Market Area,02:31,Well-lit,0.1,0.52,1,1,0,0.86,0
University Campus,20:41,Poorly-lit,0.22,0.45,0,0,1,0.53,0
Market Area,22:36,Poorly-lit,0.56,0.33,0,0,1,0.85,0
Suburban Street,18:42,Well-lit,0.31,0.29,1,0,1,0.58,1
Public Transport Hub,05:33,Poorly-lit,0.57,0.47,1,0,0,0.81,0
Alleyway,02:40,Moderately-lit,0.21,0.71,0,0,1,0.16,0
Public Transport Hub,02:07,Moderately-lit,0.15,0.49,1,1,1,0.83,1
Main Road,04:18,No lighting,0.44,0.46,0,0,1,0.2,0
Alleyway,18:38,No lighting,0.23,0.88,0,1,0,0.13,0
Alleyway,01:12,Poorly-lit,0.42,0.78,1,0,0,0.13,0
Main Road,04:39,Poorly-lit,0.14,0.33,0,1,1,0.12,0
Industrial Zone,19:18,Poorly-lit,0.03,0.65,0,1,1,0.23,0
Suburban Street,19:58,Well-lit,0.1,0.24,1,0,0,0.52,1
Public Transport Hub,22:28,No lighting,0.67,0.47,0,1,1,0.76,1
Market Area,22:16,No lighting,0.36,0.28,1,0,0,0.78,0
Industrial Zone,05:52,Poorly-lit,0.54,0.72,0,0,1,0.27,0
Park,01:51,Poorly-lit,0.0,0.65,0,0,0,0.13,0
Industrial Zone,03:29,Poorly-lit,0.06,0.81,0,1,0,0.11,0
University Campus,21:41,No lighting,0.42,0.31,1,1,0,0.5,0
University Campus,01:40,No lighting,0.07,0.2,1,0,1,0.54,0
Commercial District,19:56,Moderately-lit,0.16,0.57,0,1,1,0.9,1
University Campus,05:37,Poorly-lit,0.09,0.28,0,0,1,0.4,0
Alleyway,01:25,Well-lit,0.11,0.67,0,0,1,0.22,0
Public Transport Hub,19:34,No lighting,0.69,0.42,0,1,1,0.71,0
Main Road,03:24,Moderately-lit,0.16,0.42,1,1,0,0.13,0
University Campus,18:25,No lighting,0.33,0.23,1,0,1,0.43,0
Alleyway,02:50,No lighting,0.09,0.71,1,1,0,0.27,0
Residential Area,02:15,Well-lit,0.2,0.21,1,1,1,0.54,1
Suburban Street,04:11,Well-lit,0.0,0.19,1,0,0,0.51,1
Main Road,00:08,No lighting,0.18,0.54,1,1,1,0.28,0
Residential Area,03:37,Poorly-lit,0.58,0.27,1,0,0,0.57,0
University Campus,18:45,Poorly-lit,0.47,0.17,1,0,0,0.56,0
University Campus,18:40,Moderately-lit,0.18,0.31,1,0,0,0.44,0
Residential Area,01:40,Well-lit,0.28,0.32,1,0,0,0.57,1
Residential Area,23:18,No lighting,0.22,0.22,1,0,0,0.4,0
Public Transport Hub,01:57,Well-lit,0.64,0.42,1,1,1,0.74,1
Commercial District,23:42,Poorly-lit,0.03,0.64,1,1,1,0.89,1
Market Area,01:10,Well-lit,0.42,0.36,1,0,0,0.9,1
University Campus,01:34,Moderately-lit,0.17,0.22,0,0,0,0.42,0
Commercial District,00:11,Well-lit,0.05,0.65,0,1,1,0.88,1
Main Road,19:25,Moderately-lit,0.0,0.49,0,1,1,0.17,0
Suburban Street,18:07,No lighting,0.1,0.18,1,0,0,0.49,0
Industrial Zone,23:41,Poorly-lit,0.08,0.72,0,0,0,0.3,0
Market Area,00:02,Moderately-lit,0.26,0.5,1,1,1,0.79,1
Alleyway,02:50,Well-lit,0.0,0.91,0,0,1,0.25,0
Commercial District,05:45,Poorly-lit,0.15,0.63,0,0,1,0.79,0
Alleyway,03:07,Well-lit,0.46,0.82,0,0,0,0.15,0
Alleyway,05:24,Well-lit,0.21,0.69,1,1,0,0.14,1
Market Area,19:42,No lighting,0.36,0.46,0,1,1,0.75,0
Park,02:45,Well-lit,0.15,0.52,0,1,0,0.23,1
Commercial District,21:23,Well-lit,0.16,0.39,1,1,1,0.82,1
Market Area,23:13,No lighting,0.14,0.53,1,1,0,0.83,0
Commercial District,03:31,No lighting,0.09,0.6,1,0,1,0.73,0
Suburban Street,23:34,Poorly-lit,0.42,0.3,1,0,0,0.55,0
Commercial District,21:20,Moderately-lit,0.09,0.58,0,1,1,0.76,0
Public Transport Hub,18:17,Well-lit,0.0,0.42,0,1,0,0.79,1
University Campus,03:49,Well-lit,0.29,0.28,1,1,1,0.56,1
Park,01:15,Well-lit,0.08,0.53,1,0,1,0.18,1
Public Transport Hub,18:30,Well-lit,0.03,0.36,1,1,0,0.8,1
Residential Area,18:01,Poorly-lit,0.03,0.25,1,0,0,0.48,0
Residential Area,18:58,No lighting,0.18,0.16,0,0,0,0.53,0
Public Transport Hub,01:01,Moderately-lit,0.56,0.41,0,1,0,0.72,0
Residential Area,18:12,Well-lit,0.28,0.07,1,1,0,0.51,1
Market Area,02:21,Well-lit,0.3,0.51,0,1,1,0.73,1
Market Area,04:38,Poorly-lit,0.32,0.41,1,0,0,0.88,0
Park,19:32,Well-lit,0.23,0.51,1,0,0,0.22,1
Commercial District,00:44,Poorly-lit,0.43,0.48,1,0,1,0.79,0
Alleyway,22:40,No lighting,0.16,0.7,0,0,0,0.17,0
Park,03:06,No lighting,0.1,0.58,1,0,0,0.25,0
Residential Area,03:18,No lighting,0.22,0.32,1,0,0,0.46,0
Alleyway,02:21,Moderately-lit,0.3,0.65,0,0,0,0.25,0
University Campus,05:14,Well-lit,0.15,0.42,0,1,1,0.59,1
University Campus,19:11,Well-lit,0.76,0.29,1,1,0,0.51,0
Public Transport Hub,20:24,Moderately-lit,0.29,0.44,1,0,0,0.74,0
Residential Area,20:03,No lighting,0.06,0.14,1,0,0,0.49,0
University Campus,03:20,Moderately-lit,0.08,0.41,1,0,0,0.59,0
Alleyway,18:52,Poorly-lit,0.51,0.72,0,0,1,0.1,0
Public Transport Hub,22:12,No lighting,0.5,0.36,0,1,0,0.72,0
Market Area,00:08,No lighting,0.22,0.25,1,0,0,0.81,0
Suburban Street,23:07,No lighting,0.19,0.21,0,0,0,0.52,0
Commercial District,18:11,Well-lit,0.5,0.54,1,1,1,0.88,1
Commercial District,20:26,No lighting,0.17,0.59,0,0,0,0.8,0
Alleyway,18:40,Well-lit,0.03,0.75,0,0,0,0.24,0
Public Transport Hub,03:18,Well-lit,0.21,0.44,1,1,1,0.74,0
Suburban Street,05:27,Poorly-lit,0.6,0.41,1,1,1,0.57,1
Alleyway,04:18,Moderately-lit,0.18,0.86,1,0,1,0.11,0
Public Transport Hub,00:18,Poorly-lit,0.21,0.58,0,0,0,0.79,0
University Campus,01:58,No lighting,0.02,0.3,1,1,0,0.45,0
Alleyway,03:11,Poorly-lit,0.13,0.65,1,1,1,0.23,0
Public Transport Hub,23:53,Poorly-lit,0.08,0.63,0,1,1,0.89,0
Industrial Zone,18:09,No lighting,0.01,0.71,0,0,0,0.19,0
Alleyway,20:31,Poorly-lit,0.26,0.67,0,0,0,0.13,0
Suburban Street,00:44,Moderately-lit,0.28,0.15,1,0,1,0.55,1
University Campus,18:35,Moderately-lit,0.21,0.39,1,0,1,0.48,1
Main Road,20:56,Moderately-lit,0.29,0.52,0,1,0,0.18,0
Main Road,19:41,Poorly-lit,0.0,0.53,1,1,0,0.26,0
Commercial District,19:05,Poorly-lit,0.05,0.58,1,1,1,0.83,1
Alleyway,03:19,Poorly-lit,0.11,0.95,0,1,1,0.16,0
Commercial District,02:31,Moderately-lit,0.16,0.46,1,1,0,0.74,1
Industrial Zone,01:46,Well-lit,0.59,0.82,0,0,0,0.28,0
Park,18:10,Moderately-lit,0.42,0.53,0,1,0,0.25,0
Main Road,00:48,Poorly-lit,0.6,0.32,1,1,1,0.23,1
Suburban Street,04:25,Well-lit,0.13,0.43,1,0,0,0.59,1
Commercial District,21:24,No lighting,0.27,0.44,1,1,1,0.87,1
Alleyway,19:43,Moderately-lit,0.24,0.87,0,1,1,0.21,0
Industrial Zone,03:33,Well-lit,0.36,0.8,0,0,0,0.29,0
Public Transport Hub,22:05,Well-lit,0.35,0.47,0,1,1,0.76,1
Market Area,22:03,Poorly-lit,0.08,0.45,1,0,0,0.89,0
Park,18:29,Moderately-lit,0.04,0.51,1,0,1,0.22,0
Main Road,21:12,Poorly-lit,0.02,0.44,0,1,1,0.24,0
Suburban Street,20:45,Well-lit,0.7,0.38,0,1,0,0.47,1
Main Road,21:26,Poorly-lit,0.69,0.47,0,1,1,0.19,0
Commercial District,01:55,Poorly-lit,0.42,0.55,0,1,1,0.83,0
Commercial District,01:41,No lighting,0.2,0.39,1,0,1,0.8,0
Residential Area,02:33,Moderately-lit,0.55,0.16,1,0,1,0.48,1
Residential Area,22:48,Poorly-lit,0.38,0.25,1,0,0,0.46,0
Commercial District,03:44,No lighting,0.3,0.63,0,0,1,0.81,0
Residential Area,22:50,Poorly-lit,0.25,0.08,1,1,0,0.4,0
Main Road,18:23,Poorly-lit,0.07,0.37,1,0,1,0.23,0
Commercial District,02:14,Poorly-lit,0.27,0.58,1,1,1,0.84,1
Public Transport Hub,18:46,Moderately-lit,0.26,0.52,0,1,0,0.73,0
Commercial District,20:09,No lighting,0.51,0.41,1,0,1,0.8,0
Park,03:17,No lighting,0.07,0.57,0,0,1,0.16,0
Park,01:25,Moderately-lit,0.07,0.5,1,0,1,0.21,0
Suburban Street,21:30,No lighting,0.19,0.41,1,0,0,0.55,1
